success,trial_type,trial_index,time_elapsed,internal_node_id,subject,date,time,line_1,line_2,line_3,rt,phase,stim_pos_y,stim_pos_x,first_stage,last_stage,show_money_val,p_o1,safe_val,o1_val,o2_val,o1_image,o2_image,safe_image,choice_image,key_press_num,choice,accept,outcome_reached,points_received,safe_val_base,safe_val_actual,p_trigger,trigger_val_base,trigger_val_actual,o1_trigger,safe_noise,trigger_noise,other_noise,matched_safe,gl_type,choice_number,trial_num,outcome_image,outcome_val,outcome_name,correct,key,practice_quiz_pct,practice_bonus_trial_points_avg,test_quiz_pct,test_bonus_trial_points_avg,stimulus,button_pressed
,evan-run-trial,35,408720,0.0-35.0,1,aug_19_2019,1716,,,,2826.83,TEST,1,1,1,4,TRUE,0.8,-70,-90,0,Stimuli/Evan_Stimuli/Scissors.png,Stimuli/Evan_Stimuli/Girl.png,Stimuli/Evan_Stimuli/House.png,Stimuli/Evan_Stimuli/Butterfly.png,49,1,1,1,-90,-70,-70,0.8,-90,-90,TRUE,0,0,0,TRUE,loss,4,35,,,,,,,,,,,
,evan-run-trial,36,418312,0.0-36.0,1,aug_19_2019,1716,,,,1435.355,TEST,1,1,1,4,TRUE,0.8,-20,-90,0,Stimuli/Evan_Stimuli/Scissors.png,Stimuli/Evan_Stimuli/Girl.png,Stimuli/Evan_Stimuli/House.png,Stimuli/Evan_Stimuli/Butterfly.png,50,2,0,3,-20,-20,-20,0.8,-90,-90,TRUE,0,0,0,FALSE,loss,4,36,,,,,,,,,,,
,evan-run-trial,37,424083,0.0-37.0,1,aug_19_2019,1716,,,,null,REW TEST 1,1,1,1,1,TRUE,0,20,0,70,Stimuli/Evan_Stimuli/Scissors.png,Stimuli/Evan_Stimuli/Girl.png,Stimuli/Evan_Stimuli/House.png,Stimuli/Evan_Stimuli/Hand.png,null,null,null,null,null,,,,,,,,,,,,,37,,,,,,,,,,,
,evan-reward-quiz,38,426507,0.0-38.0,1,aug_19_2019,1716,,,,1921.175,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Stimuli/Evan_Stimuli/Girl.png,70,GIRL,1,51,,,,,,
,evan-run-trial,39,436559,0.0-39.0,1,aug_19_2019,1716,,,,1909.26,TEST,1,1,1,4,TRUE,0.2,-40,0,-90,Stimuli/Evan_Stimuli/Scissors.png,Stimuli/Evan_Stimuli/Girl.png,Stimuli/Evan_Stimuli/House.png,Stimuli/Evan_Stimuli/Zebra.png,49,1,1,2,-90,-40,-40,0.8,-90,-90,FALSE,0,0,0,FALSE,loss,1,39,,,,,,,,,,,
,evan-run-trial,40,448671,0.0-40.0,1,aug_19_2019,1716,,,,3961.435,TEST,1,1,1,4,TRUE,0.6,-50,-90,0,Stimuli/Evan_Stimuli/Scissors.png,Stimuli/Evan_Stimuli/Girl.png,Stimuli/Evan_Stimuli/House.png,Stimuli/Evan_Stimuli/Pepper.png,49,1,1,1,-90,-50,-50,0.6,-90,-90,TRUE,0,0,0,TRUE,loss,3,40,,,,,,,,,,,
,evan-display-text,41,451158,0.0-41.0,1,aug_19_2019,1716,The next set of games will all have positive points.,Collecting more of these will make your bonus larger.,,2485.875,TRAIN INFO,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,evan-run-trial,42,461799,0.0-42.0,1,aug_19_2019,1716,,,,2503.75,TEST,1,1,1,4,TRUE,0.8,40,50,0,Stimuli/Evan_Stimuli/Scissors.png,Stimuli/Evan_Stimuli/Girl.png,Stimuli/Evan_Stimuli/House.png,Stimuli/Evan_Stimuli/Butterfly.png,49,1,1,1,50,40,40,0.8,50,50,TRUE,0,0,0,TRUE,gain,4,42,,,,,,,,,,,
,evan-run-trial,43,473442,0.0-43.0,1,aug_19_2019,1716,,,,3492.525,TEST,1,1,1,4,TRUE,0.8,75,90,0,Stimuli/Evan_Stimuli/Scissors.png,Stimuli/Evan_Stimuli/Girl.png,Stimuli/Evan_Stimuli/House.png,Stimuli/Evan_Stimuli/Butterfly.png,49,1,1,1,90,75,75,0.8,90,90,TRUE,0,0,0,TRUE,gain,4,43,,,,,,,,,,,
,evan-run-trial,44,484000,0.0-44.0,1,aug_19_2019,1716,,,,2410.365,TEST,1,1,1,4,TRUE,0.6,55,90,0,Stimuli/Evan_Stimuli/Scissors.png,Stimuli/Evan_Stimuli/Girl.png,Stimuli/Evan_Stimuli/House.png,Stimuli/Evan_Stimuli/Pepper.png,50,2,0,3,55,55,55,0.6,90,90,TRUE,0,0,0,TRUE,gain,3,44,,,,,,,,,,,
,evan-run-trial,45,495677,0.0-45.0,1,aug_19_2019,1716,,,,3546.735,TEST,1,1,1,4,TRUE,0.8,20,0,70,Stimuli/Evan_Stimuli/Scissors.png,Stimuli/Evan_Stimuli/Girl.png,Stimuli/Evan_Stimuli/House.png,Stimuli/Evan_Stimuli/Butterfly.png,50,2,0,3,20,20,20,0.2,70,70,FALSE,0,0,0,FALSE,gain,4,45,,,,,,,,,,,
,evan-run-trial,46,505452,0.0-46.0,1,aug_19_2019,1716,,,,1645.465,TEST,1,1,1,4,TRUE,0.2,40,50,0,Stimuli/Evan_Stimuli/Scissors.png,Stimuli/Evan_Stimuli/Girl.png,Stimuli/Evan_Stimuli/House.png,Stimuli/Evan_Stimuli/Zebra.png,50,2,0,3,40,40,40,0.2,50,50,TRUE,0,0,0,FALSE,gain,1,46,,,,,,,,,,,
